ID,Start,End,DurationText
ITEM-1001,2025-09-08 14:42:48.229396,2025-09-08 18:04:01.229396,0d 3h 21m 13s
ITEM-1002,2025-09-07 13:37:48.229396,2025-09-07 18:00:04.229396,0d 4h 22m 16s
ITEM-1003,2025-09-06 12:32:48.229396,2025-09-06 14:56:07.229396,0d 2h 23m 19s
ITEM-1004,2025-09-05 11:27:48.229396,2025-09-05 14:52:10.229396,0d 3h 24m 22s
ITEM-1005,2025-09-04 10:22:48.229396,2025-09-04 14:48:13.229396,0d 4h 25m 25s
ITEM-1006,2025-09-03 09:17:48.229396,2025-09-03 11:44:16.229396,0d 2h 26m 28s
ITEM-1007,2025-09-02 15:12:48.229396,2025-09-02 18:40:19.229396,0d 3h 27m 31s
ITEM-1008,2025-09-01 14:07:48.229396,2025-09-01 18:36:22.229396,0d 4h 28m 34s
ITEM-1009,2025-08-31 13:02:48.229396,2025-08-31 15:32:25.229396,0d 2h 29m 37s
ITEM-1010,2025-08-30 11:57:48.229396,2025-08-30 15:28:28.229396,0d 3h 30m 40s
ITEM-1011,2025-08-29 10:52:48.229396,2025-08-29 15:24:31.229396,0d 4h 31m 43s
ITEM-1012,2025-08-28 09:47:48.229396,2025-08-28 12:20:34.229396,0d 2h 32m 46s
ITEM-1013,2025-08-27 08:42:48.229396,2025-08-27 12:16:37.229396,0d 3h 33m 49s
ITEM-1014,2025-08-26 14:37:48.229396,2025-08-26 19:12:40.229396,0d 4h 34m 52s
ITEM-1015,2025-08-25 13:32:48.229396,2025-08-25 16:08:43.229396,0d 2h 35m 55s
